address,amount,decimals,ui_amount_string,owned_percentage
CFJxcPREabsh4788hHcshb2DoZecHraXtqLDp3U49KQf,24267288326759,6,24267288.326759,2.4273571854573526264136012300
Kt4fAS5qVCtEDufaxXY9BMKscAfaK19An9HdzFaJnBf,24000114031409,6,24000114.031409,2.4006328379795913537920899200
Bsx5tvzXheD7v25pbumYo1VWBZd3R9eNLusLZyUxhSES,18687328904666,6,18687328.904666,1.869216761385223365171237900
9UVCyi4ppGK4L9g9soqAcEEhqhB1ftoe8ojxJRdeoNZk,15835018518549,6,15835018.518549,1.5839118679142350058046816700
HXzTvbuKKPyNMmLKJb8vaSUaRZsVS2J2AAsDuDm36rNC,15496202650526,6,15496202.650526,1.5500215081542725799431531400
DGWxPL7hmG3nMLSXBVKjoJAksxhvbHpQiJixyQm78Z11,13830531271262,6,13830531.271262,1.383411241006755918459061500
FjFsrTEcBGX5SE8BiHdjS1QiuRWUWF21dBDN6ULoSJe2,13300000000000,6,13300000,1.3303443768368674612697933800
Dfr714h41mf1nvc4qZ9d9WdLFV5QUuVAGhZydFjSgQ8Z,11554281320793,6,11554281.320793,1.155727307030693344804288200
CLsQvTqtRTXwGQiqMwTM6y7Ky4QrhiKtsL8BbrfcE22E,10580320809484,6,10580320.809484,1.0583060371448972238523940100
CFKxU872aU7RhG829mL9qbHA1FfmEUd7m21gm37ToyAV,10304404000000,6,10304404,1.0307072118838589785998724800
5CDTpgAdpV7RBE3iV6SFEwA6v9t1fdoAmMeLn8jJQtqA,10279050537175,6,10279050.537175,1.0281712091242663988804171500
5ZgCioMEvJyd5U7XcisXi5WNp28mvom7M6vsTMdfdMfb,10138111124734,6,10138111.124734,1.0140736185366290763166309900
B7vFc2LMzT8dFzUWuAqsb44ppsf8BhsbkBFVGobf1ovn,10000000000000,6,10000000,1.0002589299525319257667619400
GKSdtgFxmzsXfkYXb2QpKJ3gCuJLTG3o3kr71UaoaFKU,10000000000000,6,10000000,1.0002589299525319257667619400
5n92DTvkmrwjo1h2xCs44jEyAdwgeFBd7f2RTg21epoR,10000000000000,6,10000000,1.0002589299525319257667619400
CDQhWbHqVFoQJtP2NZomBU88ru6jv82M2XVmh6GbcGsU,9998214998477,6,9998214.998477,1.0000803835811959637862419600
GCk1aJiRwJaQhix56BE79GTfLPKVpXR3w7QkwrG7dcXP,9958971989667,6,9958971.989667,0.9961550665811551254617748300
5MDNmwK32ajwwDoehSQaraS5sPniiADJY2kYwsYDoTRV,9849601391198,6,9849601.391198,0.9852151748018681288134808500
9KG9knRqDzgLsvph9e1x5FHg51LNwpopfXmLxNUePJSd,9616540433127,6,9616540.433127,0.9619030443484870918963392300
8yeJT39at479BeeUDCZVMTkBicNMQvN1w3cgcFgUdiwo,9233458426386,6,9233458.426386,0.9235849245338049636966791900
