address,amount,decimals,ui_amount_string,owned_percentage
9hRuDnUJeG4Ba6LMuyrLZVAGXRj77nRXg8Ydv42hA2mi,2725131790526712,9,2725131.790526712,2.7252135095360814375276377400
25aL4PVL3rwSijYFNEBkL7iqFASWwPHjBbPDwZ1zxYsd,2449128160314130,9,2449128.16031413,2.4492016027537857278686458100
BvPZGzSav3JVRwJkfoGz1tEBb85nuruLoshbYJ56xjSn,2386139100832610,9,2386139.10083261,2.3862106544081895623987763700
2bK2iT54B3MrwD7Emog4AhoMMNhLvxuYzTYV34S191CY,1661610254500729,9,1661610.254500729,1.6616600815015470610115457700
E1A9hrnof8vXrebw8eogvVsgiiDhHPZ4fnWV1ccGJ7kz,1328827140519650,9,1328827.14051965,1.328866988294324229555475600
3rBxrKKPCP7tVAYtviSKWUA3scBhEeuTfH3wUG17xe8n,1284832289504392,9,1284832.289504392,1.2848708179976814463280594900
BfyRBwoQ2zQMXxP7a5WMCwEiqxtUz2VqVmCZTuJTzHcW,1271066828177050,9,1271066.82817705,1.2711049438830140427846198900
5rVMMs8NWxq57UF5coQoMTGXBR2L4XohpsmiELhQd28L,1051569187352598,9,1051569.187352598,1.0516007209439540604868510300
51oGY78synBCV4SAAtHThCEeWN5FXHurLDBJR9FsQMJ4,980895678493191,9,980895.678493191,0.980925092785527200369728100
9zaCK7LYFC7S3jf2nw2cTRFevHgTYNN32kFpt3Zv9RSL,975814952063271,9,975814.952063271,0.9758442139989644231287462500
9eXgWbCBKkauVYE3wasnfRJ7KnTjWTNUwgWTeSayfUjV,974712540031972,9,974712.540031972,0.9747417689094407061173629900
7htmUUJVYPHn3AHCeQqMEgzg5C4mtMxj8aRQTpFJowAH,819531851478042,9,819531.851478042,0.8195564269247349991726573500
9tVbCeNvmobKnuoBjAgG7VTLps1AU6t4DFnYT4jdEJDH,800499485456412,9,800499.485456412,0.8005234901761762499624436600
Fwb6w1s4tTuu7iutm8R6fBoHaMv45xgZP6aDiqRnuKsR,758504905396003,9,758504.905396003,0.758527650816861651393355300
GZ8qtRhRC2qHwrEowWP3toSvKZcsahj6483BsojRji4L,705003470778165,9,705003.470778165,0.7050246118420336474645053400
J6upcVCKHistZeQ532pAn9CmaqSKFYSf6zcPeubFAEv8,627601578883238,9,627601.578883238,0.6276203988828737315225724100
CATzFqgu2bAR89HiJADgCXXyZMDc7sy5FunnpkmtmGiZ,590292889563983,9,590292.889563983,0.5903105907813482225586325200
G6xo5ez3gxQvbcvW2xw57swdaEkC1La4FEqB89vFefhe,583463286422685,9,583463.286422685,0.5834807828395319381198669500
3dZSZyw58fpL1CvXqF4Hfrtcs9MFnQ51U9QDTNyfL6JT,577800804074888,9,577800.804074888,0.5778181306898744767360986100
DVPC1WA14LztVn1cTarwChw4fPR1CNqo8J38Bs55TYdw,575227816024269,9,575227.816024269,0.5752450654826073663907533700
