address,amount,decimals,ui_amount_string,owned_percentage
2g5q7fBGKZm2CXix8JjK4ZFdBTHQ1LerxkseBTqWuDdD,2156016064260,6,2156016.06426,2.1560164188198969377542110700
EPgu5VBTUFqtf4eBqLpWXSvBmjcDXzuZnzpkMkP8mxtR,1366415393642,6,1366415.393642,1.3664156183509477555228662100
8WVUuDk5gZaC73yoafsTwCetmeGwmwZBukhmkiYQaKFy,1184941418277,6,1184941.418277,1.1849416131422953500927381100
8qPLp94Y8ahD4ovEUWW55NwrS5btoqPEHhbZaTKWU9Ub,1001215344000,6,1001215.344,1.0012155086512820872603645300
HYczm247BiqoMJUYq7b1kRf1JT3rEUBzWHS8PVuLnzbP,1001166896000,6,1001166.896,1.0011670606433147450074040200
CiFXoHPYKXWB6A3cXiFSaZWMmQYUu4GzcqMZySDEY1o1,1000279896000,6,1000279.896,1.0002800604974463380891417500
8w16tYQwQVjhUWz5uSUxBz2nNycZakkqvyaY6NCncfST,1000263896000,6,1000263.896,1.0002640604948151154164335200
GNDRYxg8Qq4qLySXJZkHqe8GYF5KSgKL36J1gBrQq3p3,1000000000000,6,1000000,1.000000164451417044264120400
FmtrjYuaQs1fSbRYMkpmaXbaQyvfDFX7KZZETTPWiYMW,1000000000000,6,1000000,1.000000164451417044264120400
8haxQ2BQZx7uFMPiv2ZoKTwGd7yXN5m4nxAK68VrW8CG,1000000000000,6,1000000,1.000000164451417044264120400
BcUrTTAWW373FVT1Sivj8nAsKnpMFxgu43BFoVqEEwrP,1000000000000,6,1000000,1.000000164451417044264120400
5D8PLukugShJ2bVFAJEWCGigNQQJXDAq6F2Jdmtdo6Rm,999439640804,6,999439.640804,0.9994398051632651804281358600
36RNALNGV6TXx2H8CryJATRQjva5Rs59BhtCL8ZtifiM,822368421053,6,822368.421053,0.822368556292652174619896900
dUQ4EqP3UTvhxBr7Xm91X3tUJQZJRZj5MvP6FNgh1y5,548849814323,6,548849.814323,0.5488499045821297098985999500
B8vPjFgtuvZp4XfmXyUx2yXttSUdbpriMfBDR8HGUK4T,533372400093,6,533372.400093,0.5333724878068470075940419200
H1gRPD6ctAaeRm1RL1tuqviJGQsQRPcpqa7MCgKrANLV,522000000000,6,522000,0.5220000858436396971058708500
2AhhtJ3xbxUakCFFTkFDxd5bYZ4G4DTxQzTcKsgqkzVD,500886448000,6,500886.448,0.5008865303714861518681140400
4fk7KcNEE9R8yj2msiijQLnzEY3e44xSjhe8FbxahnPv,500230448000,6,500230.448,0.5002305302636060222870767800
D2v5reTGgQAfjikcB8KEYy23XTFtsuv2k6KTZjbi65VW,500000000000,6,500000,0.500000082225708522132060200
8bdL4VhzGNRcAXAJVhSRbJ954rroPGtTindS1XqMPM47,500000000000,6,500000,0.500000082225708522132060200
