address,amount,decimals,ui_amount_string,owned_percentage
9uWrDHUwNqpPk8MyUy1XDbVwnJbFSUCF2jgVQC5DRMqo,10000000000000000,8,100000000,10.526752703948971967066592060
GUVkL2jvi3HTv1anv8p1nfKLQPFXmMSRDEBvDB4iu1GY,7251089107859803,8,72510891.07859803,7.6330421872738120069358366300
3QJ1unQMiifmdU83w2q7aGRvH9hYrE714oiYEGm1Zkwm,7171799016449221,8,71717990.16449221,7.5495754688585414844040430400
CiL2Be2WxJVgzU2dypxHL6TCCTfssPN57RKGTaPLF7RP,2342796699185736,8,23427966.99185736,2.4662041487956172729107814800
EAFetLGYYENLWvpdidECafMoivrBByEcPERv43QfGdJn,2011197338976109,8,20111973.38976109,2.1171377026241732563099880700
AYo7fbcaLDM7cBL8RGSXq7o3eoawuyfoUa7BhMyYGVfR,1969412332828264,8,19694123.32828264,2.0731516599790380792246835600
7eq1or15G13H1Ly9ctpEcestMz1tZH7KijRnVeUpdjpG,1375778202039288,8,13757782.02039288,1.4482476908351130012832026400
H3Ygr9zKfuCJUceB4fnjrLrXRkcaP1Sxfp7Gz6CjYRe3,1149551083245754,8,11495510.83245754,1.2101039973884710685484316900
8K2cgJUDR2gcuUq5UjjADQMEyR1tzxTvexKBHHkKqqys,1100000000000000,8,11000000,1.1579427974343869163773251300
4RskmUYA465MpkJQCGTXDBKvExdJWqcmVs7i2ecyxyQZ,1050722355538108,8,10507223.55538108,1.1060694397260411469081765500
CUuyU7BW4D3phaKWeoyWWF8ZvYFrEpv5KKLuTtj1Yu2v,1025789633644765,8,10257896.33644765,1.0798233799652855311986186500
4GJzGSiPGBwQ7f6N2Qtvn7PKqKvgBdS67VzcGV7yLLuy,1004088406449996,8,10040884.06449996,1.0569790347601309777516800500
ELusnTofqCfVkGzLvu3p7s8kzN18aDRE2yvadCiZzQb4,979652223623010,8,9796522.2362301,1.0312556693953143468188718700
Gwuw8ztx9fmX4XHT76Z85JE6GQUn2n6zuxceaAdxXeCV,977008196121197,8,9770081.96121197,1.0284723670299118025058806100
6Wuo4Nvr6q4yvDugzPtuFHmM9hyTJLte9ko9rgYJv4YK,921406617318938,8,9214066.17318938,0.9699419600298606254694741200
2rAJhVftiU7LMigxTZQu9QDsNdRpoCsS2BRFZaQLEZ6p,821768428722700,8,8217684.287227,0.8650553029076580264736303200
3r3urr3gJKUHFG2L3PTJUvsJQchS9R2jYcPyE8oPFtGs,777276106682092,8,7772761.06682092,0.8182193357730641558606643100
8qQrDWCJ3RUnHdxzrSYc5Q9XWrppyTxABXPsQjQUHawV,739811854163330,8,7398118.5416333,0.778781643622733659148554800
91Tq7A5X1jJNwFNVg33Be3cQiYtVcixNBQum82hPQUPf,709424516680801,8,7094245.16680801,0.7467936449217314494034949100
T7G1rZLD2K7Xi67qX2wXcKqfje293mhD3CPUJc1n1hJ,679944324306344,8,6799443.24306344,0.7157605754426563404980588100
