address,amount,decimals,ui_amount_string,owned_percentage
HoFJexihHX8cTj9J3idEHaVFeWFEPBFe4PasrCQSUeCR,49494542502470281,8,494945425.02470281,88.66352479953446803866390996
JCy2pqZFHUc9ekse5iQKN64mXyT5D4vEd87hVTpfRqPf,598365363963823,8,5983653.63963823,1.0718996399318368352914521900
7Njn1vf1SWBq46XDxC9xuJiMQkRpz6J3ZKhoPBDw1fk2,586476787535064,8,5864767.87535064,1.050602683990283783219083400
DEniwvcdx7Yh6US1mVhGRSdxczzhLiUonUSx8F4rDW8o,332141516410833,8,3321415.16410833,0.5949916109594725463089176900
EwGxFjNzJojEaGPuBa6DgMHffgHXnf9mgQjoLks7eLm1,321172740438000,8,3211727.40438,0.5753423669960744130311090600
Cn6QTwd49hTLPFiArLw36MuEk8Rw9emdSKjCYFprS2r2,319376969082858,8,3193769.69082858,0.5721254584233165242712622800
HWDBNWPvBiHvNgSEvkHJSDPrXwvsik5SEhTX2h27gRdK,288021948255922,8,2880219.48255922,0.5159567067566008014290217200
9WrNzWuJauwUWPw4YCcngjYvYFsunbgAsrDbbZmM54U5,267933974364905,8,2679339.74364905,0.4799715156384145256606130600
HcVRuhUhUCEzHHJX12b2BHYjiCoJZyR9XN8JQtZb4MHu,252524624732309,8,2525246.24732309,0.4523675176172956688131572800
A4jAvCwPCzxbAvbiFaWJYjjTqZz9eW883Rjig2hXt5yW,245208978833221,8,2452089.78833221,0.4392624171596840394555361200
2knU1PfaT5Xry6TVzrwK14PABZwLbzJX9ywruNEaNJEA,221812812907661,8,2218128.12907661,0.3973509975794064893114017100
BMoMA8CiBZ4EnuEGWYGRwLKS98VbNuxZCArKoE7S1bcZ,187287037008498,8,1872870.37008498,0.3355022192518600889058284500
24xfiNchqtfN1YEaepwHD8CckZrYSDUJLrFzfFmoXsf3,186018835694769,8,1860188.35694769,0.3332303890066365609856693800
AMKLHdWpVRJAyZbPy3Dthq2zfCpecuKqUsMiqWMfXifw,156557673674001,8,1565576.73674001,0.2804542577933599720300695300
4RXAWbiEix7dmFnMxRQQt4ZL79sS6sFbgurGUMUhSgJo,119173431532912,8,1191734.31532912,0.2134848807146080488021556800
Gaim6eHk5kzg5993feiHcuXf5BcqQUaatrg3N29fV4t6,118704447625278,8,1187044.47625278,0.2126447524050471636131639100
N5k8ZzpWRVtjnd7M7Hai4J2qm8x5kJAK9AiAb9L5Usy,114429811546376,8,1144298.11546376,0.2049872555815984756059706900
5J3cKhAh1KHf7bWYGeAr82pnz5THGCgPyf1AaYeHp6Q5,110515382975114,8,1105153.82975114,0.1979750272195164856937132300
CUhLZbyCwwgrAQtE4JoztztzX6cAQj571euMSTfzjeEg,99784412676901,8,997844.12676901,0.1787517835434851475331238500
6aB7eR6R6MrSog8F6HWedmA2LMnzzSsVq3HfyJAngoWy,97421345696684,8,974213.45696684,0.1745186330341542665697895400
