address,amount,decimals,ui_amount_string,owned_percentage
26ddLrqXDext6caX1gRxARePN4kzajyGiAUz9JmzmTGQ,4090152115064232,6,4090152115.064232,40.901604067995671635705296300
6G4XDSge4txj5tBkA5gZqefXXE3BRxqA37Yb1pmrHv6N,3500000000000000,6,3500000000,35.000070953531449811978766700
7bEL9XkPGNg7a3oSiUERKsZtFoJMqKh6VhGDCmMCPqdg,650000000000000,6,650000000,6.5000131770844121079389138200
K6U4dQ8jANMEqQQycXYiDcf3172NGefpQBzdDbavQbA,500000000000000,6,500000000,5.0000101362187785445683952400
GDijXRGfd1jhk5GkRPp1TDnEH2FfHURSRZeB5um3pUWk,190039583545000,6,190039583.545,1.9003996880155907912367181100
4QDgg3MSLiy3E5x4NB9JAJTLhkB2ZZznyeokmr3cAPaj,81871900000000,6,81871900,0.818720659742980430246098400
CeLRs4kchQbWEcqZf7ctGrYhXwbU89fVxRs4Q34XeiHq,60403628718631,6,60403628.718631,0.6040375117151014200430556200
E6FLdjDBtHvzhMGihcbec34KfcAqSYW67kfJV8RAKH1f,41402094060578,6,41402094.060578,0.4140217799271465757985301100
B3NG3yTDwf3sL1oCUvf39HtdzWbtYoinNWqKDoRJTeuH,32414785624585,6,32414785.624585,0.3241485133725675008300064900
649KG5AEPic6MDVdbXjLPWj3vy6Lc466qGjV9d5Y3VyZ,22723196623255,6,22723196.623255,0.227232426887134642395714400
HCSDiPfAvrZzzSp7KUxFJS1b5Dud8qxQw2VETWDFNV2R,20224818977065,6,20224818.977065,0.2022485997770298159816030800
HnYpR2c6RaKMiYuofaQEctt5HZDQqwgKboW3ttZkqeFU,15518316123505,6,15518316.123505,0.1551834758291446049246653700
2V9CYburvmC2X2w96HFreUd9iEcW7BdWTFTJCt46tuai,13102800665992,6,13102800.665992,0.1310282722856283243087750600
4AWAjssbahfbzS7Qs3DJ7588CsCKyNPYcVw9ztENtv23,11851919510920,6,11851919.51092,0.1185194353764982167721216900
HZ9TkcmJYGbyg4QgHWQpjpujKhQkEziEr8oYFWEfUaiK,9904137451700,6,9904137.4517,0.0990415752980080464161765200
594567HZxxmCNxLshew2svWndJHwjkwfMnX71q65fY17,8332577509944,6,8332577.509944,0.0833259440210972599450257800
4w49W4fNDn778wsBa6TNq9hvebZKU17ymsptrEZ8zrsm,7746502255214,6,7746502.255214,0.0774651795926232546759910200
BrrJa8SznEzbAmuC1fkG3q94fdJx2wJhmxGfs8chdbVe,6749884000000,6,6749884,0.06749897683660190759505100
DC7dKVhozaLN7D6QE3eAtwxSVmf7zbLAa5AFSMLTqfF2,6675044634131,6,6675044.634131,0.0667505816607355362036005100
3UeBkq2UVP7f6PUM4RtdHNvAYi9fjYGQ88zPjeo5hAEB,6674713515683,6,6674713.515683,0.0667472704695429581425202500
